Id,ZipCode,City,StateCode,StateName
1,968,Guaynabo,PR,Puerto Rico
1,969,Guaynabo,PR,Puerto Rico
1,971,Guaynabo,PR,Puerto Rico
1,976,Trujillo Alto,PR,Puerto Rico
1,979,Carolina,PR,Puerto Rico
1,982,Carolina,PR,Puerto Rico
1,983,Carolina,PR,Puerto Rico
1,985,Carolina,PR,Puerto Rico
1,987,Carolina,PR,Puerto Rico
1,1001,Agawam,MA,Massachusetts
1,1002,Amherst,MA,Massachusetts
1,1003,Amherst,MA,Massachusetts
1,1005,Barre,MA,Massachusetts
1,1007,Belchertown,MA,Massachusetts
1,1008,Blandford,MA,Massachusetts
1,1009,Bondsville,MA,Massachusetts
1,1010,Brimfield,MA,Massachusetts
1,1011,Chester,MA,Massachusetts
1,1012,Chesterfield,MA,Massachusetts
1,1013,Chicopee,MA,Massachusetts
1,1020,Chicopee,MA,Massachusetts
1,1022,Chicopee,MA,Massachusetts
1,1026,Cummington,MA,Massachusetts
1,1027,Easthampton,MA,Massachusetts
1,1028,East Longmeadow,MA,Massachusetts
1,1029,East Otis,MA,Massachusetts
1,1030,Feeding Hills,MA,Massachusetts
1,1031,Gilbertville,MA,Massachusetts
1,1032,Goshen,MA,Massachusetts
1,1033,Granby,MA,Massachusetts
1,1034,Granville,MA,Massachusetts
1,1035,Hadley,MA,Massachusetts
1,1036,Hampden,MA,Massachusetts
1,1037,Hardwick,MA,Massachusetts
1,1038,Hatfield,MA,Massachusetts
1,1039,Haydenville,MA,Massachusetts
1,1040,Holyoke,MA,Massachusetts
1,1050,Huntington,MA,Massachusetts
1,1053,Leeds,MA,Massachusetts
1,1054,Leverett,MA,Massachusetts
1,1056,Ludlow,MA,Massachusetts
1,1057,Monson,MA,Massachusetts
1,1060,Northampton,MA,Massachusetts
1,1062,Florence,MA,Massachusetts
1,1063,Northampton,MA,Massachusetts
1,1066,North Hatfield,MA,Massachusetts
1,1068,Oakham,MA,Massachusetts
1,1069,Palmer,MA,Massachusetts
1,1070,Plainfield,MA,Massachusetts
1,1071,Russell,MA,Massachusetts
1,1072,Shutesbury,MA,Massachusetts
1,1073,Southampton,MA,Massachusetts
1,1074,South Barre,MA,Massachusetts
1,1075,South Hadley,MA,Massachusetts
1,1077,Southwick,MA,Massachusetts
1,1079,Thorndike,MA,Massachusetts
1,1080,Three Rivers,MA,Massachusetts
1,1081,Wales,MA,Massachusetts
1,1082,Ware,MA,Massachusetts
1,1083,Warren,MA,Massachusetts
1,1084,West Chesterfield,MA,Massachusetts
1,1085,Westfield,MA,Massachusetts
1,1086,Westfield,MA,Massachusetts
1,1088,West Hatfield,MA,Massachusetts
1,1089,West Springfield,MA,Massachusetts
1,1092,West Warren,MA,Massachusetts
1,1093,Whately,MA,Massachusetts
1,1094,Wheelwright,MA,Massachusetts
1,1095,Wilbraham,MA,Massachusetts
1,1096,Williamsburg,MA,Massachusetts
1,1097,Woronoco,MA,Massachusetts
1,1098,Worthington,MA,Massachusetts
1,1103,Springfield,MA,Massachusetts
1,1104,Springfield,MA,Massachusetts
1,1105,Springfield,MA,Massachusetts
1,1106,Longmeadow,MA,Massachusetts
